word,definition,x,y,z,cluster
CHOTAS,"'CHOTA, (Hindi) a person of lower rank [n]'",1.1728501,0.282437,0.6217794,-1
CHOULTRIES,"'CHOULTRY, (Malayalam) a shed used for assembly, also CHOLTRY [n]'",2.223266,-1.3943803,-0.06714543,-1
CHOULTRY,"'(Malayalam) a shed used for assembly, also CHOLTRY [n CHOULTRIES]'",2.2151558,-1.3897552,-0.061203193,-1
CHOUT,"'(Hindi) in India, an assessment equal to a fourth part of the revenue, extracted by the Mahrattas as blackmail [n -S]'",2.1697357,-0.48395297,1.0668174,-1
CHOUTS,"'CHOUT, (Hindi) in India, an assessment equal to a fourth part of the revenue, extracted by the Mahrattas as blackmail [n]'",2.2140315,-0.5532893,1.1330003,-1
CHOWK,'(Hindi) a marketplace [n -S]',1.5254717,0.8395424,1.3709148,-1
CHOWKIDAR,"'(Urdu) a watchman, also CHOKIDAR [n -S]'",0.29375228,-1.129347,0.77684283,-1
CHOWKIDARS,"'CHOWKIDAR, (Urdu) a watchman, also CHOKIDAR [n]'",0.37257716,-0.97999823,0.75822055,-1
CHOWKS,"'CHOWK, (Hindi) a marketplace [n]'",1.3895369,1.053438,1.2059453,-1
CHOWRI,"'(Hindi) a whisk to keep off flies, used in the East Indies, also CHOWRY [n -S]'",-0.54335225,0.70992696,2.598232,-1
CHOWRIES,"'CHOWRY, (Hindi) a whisk to keep off flies, used in the East Indies, also CHOWRI [n]'",-0.5552828,0.6726722,2.5916862,-1
CHOWRIS,"'CHOWRI, (Hindi) a whisk to keep off flies, used in the East Indies, also CHOWRY [n]'",-0.57795817,0.66434455,2.6436093,-1
CHOWRY,"'(Hindi) a whisk to keep off flies, used in the East Indies, also CHOWRI [n CHOWRIES]'",-0.565445,0.6497361,2.613601,-1
CHROMIDE,'a tropical freshwater fish of South India [n -S]',0.68777806,3.8300126,6.3212576,-1
CHROMIDES,"'CHROMIDE, a tropical freshwater fish of South India [n]'",0.60927343,4.026989,6.5798073,-1
CHUKAR,"'(Hindi) an Indian partridge, also CHIKHOR, CHIKOR, CHUKOR [n -S]'",1.7119108,3.8621678,5.5528917,88
CHUKARS,"'CHUKAR, (Hindi) an Indian partridge, also CHIKHOR, CHIKOR, CHUKOR [n]'",1.6848038,3.8989718,5.5751405,88
CHUKKA,"'(Hindi) a period of play in polo, also CHUKKAR, CHUKKER [n -S]'",-0.5695501,-1.2750324,2.8595207,17
CHUKKAR,"'(Hindi) a period of play in polo, also CHUKKA, CHUKKER [n -S]'",-0.57336026,-1.264828,2.8794363,17
CHUKKARS,"'CHUKKAR, (Hindi) a period of play in polo, also CHUKKA, CHUKKER [n]'",-0.5746729,-1.2699001,2.8468764,17
CHUKKAS,"'CHUKKA, (Hindi) a period of play in polo, also CHUKKAR, CHUKKER [n]'",-0.57035416,-1.2737802,2.8439655,17
CHUKKER,"'(Hindi) a period of play in polo, also CHUKKA, CHUKKAR [n -S]'",-0.5720059,-1.2743104,2.872183,17
CHUKKERS,"'CHUKKER, (Hindi) a period of play in polo, also CHUKKA, CHUKKAR [n]'",-0.5529541,-1.2842038,2.8290777,17
CHUKOR,"'(Hindi) an Indian partridge, also CHIKHOR, CHIKOR, CHUKAR [n -S]'",1.7171823,3.8417954,5.5613284,88
CHUKORS,"'CHUKOR, (Hindi) an Indian partridge, also CHIKHOR, CHIKOR, CHUKAR [n]'",1.6847221,3.8724792,5.564132,88
CHUPATI,"'(Hindi) a thin flat piece of unleavened bread, also CHAPATI, CHAPATTI, CHAPPATI, CHUPATTI, CHUPATTY [n -S]'",-1.6674248,-1.9093401,9.901612,126
CHUPATIS,"'CHUPATI, (Hindi) a thin flat piece of unleavened bread, also CHAPATI, CHAPATTI, CHAPPATI, CHUPATTI, CHUPATTY [n]'",-1.6647172,-1.9087143,9.915892,126
CHUPATTI,"'(Hindi) a thin flat piece of unleavened bread, also CHAPATI, CHAPATTI, CHAPPATI, CHUPATI, CHUPATTY [n -S]'",-1.6693803,-1.9070235,9.900471,126
CHUPATTIES,"'CHUPATTY, (Hindi) a thin flat piece of unleavened bread, also CHAPATI, CHAPATTI, CHAPPATI, CHUPATI, CHUPATTI [n]'",-1.6312935,-1.8768216,9.901075,126
CHUPATTIS,"'CHUPATTI, (Hindi) a thin flat piece of unleavened bread, also CHAPATI, CHAPATTI, CHAPPATI, CHUPATI, CHUPATTY [n]'",-1.677164,-1.919948,9.932074,126
CHUPATTY,"'(Hindi) a thin flat piece of unleavened bread, also CHAPATI, CHAPATTI, CHAPPATI, CHUPATI, CHUPATTI [n CHUPATTIES]'",-1.6900718,-1.9302146,9.935064,126
CHUPRASSIES,"'CHUPRASSY, (Urdu) an office messenger, a household attendant, also CHAPRASSI [n]'",0.5051484,-0.7766941,0.7050006,36
CHUPRASSY,"'(Urdu) an office messenger, a household attendant, also CHAPRASSI [n CHUPRASSIES]'",0.46767518,-0.80422866,0.7519826,36
CHURIDAR,"'(Hindi) as in churidar pyjamas, long tight-fitting trousers worn by Indian men and women [n -S]'",-1.3512627,0.89156145,1.248857,-1
CHURIDARS,'(Hindi) tight-fitting trousers worn by Indian men and women [n]',-1.3936328,0.89475256,1.2187407,-1
CHURRUS,"'(Hindi) the resinous exudation of hashish, a narcotic and intoxicant, also CHARAS [n -ES]'",3.2241733,0.113803126,7.5502625,42
CHURRUSES,"'CHURRUS, (Hindi) the resinous exudation of hashish, a narcotic and intoxicant, also CHARAS [n]'",3.2483492,0.1511851,7.588726,42
CHUTNEE,"'(Hindi) a warm or spicy condiment or pickle made in India, compounded of various vegetable substances, sweets, acids, etc., also CHUTNEY [n -S]'",-1.3831583,-1.5906615,8.474378,-1
CHUTNEES,"'CHUTNEE, (Hindi) a warm or spicy condiment or pickle made in India, compounded of various vegetable substances, sweets, acids, etc., also CHUTNEY [n]'",-1.3822017,-1.6268996,8.395808,-1
CHUTNEY,"'(Hindi) a warm or spicy condiment or pickle made in India, compounded of various vegetable substances, sweets, acids, etc., also CHUTNEE [n -S]'",-1.4374985,-1.6300101,8.318287,-1
CHUTNEYS,"'CHUTNEY, (Hindi) a warm or spicy condiment or pickle made in India, compounded of various vegetable substances, sweets, acids, etc., also CHUTNEE [n]'",-1.398506,-1.6075827,8.37573,-1
CIRCAR,"'(Urdu) the state or government; the authorities, also SIRCAR, SIRKAR [n -S]'",0.4340555,-1.7200252,0.2062108,82
CIRCARS,"'CIRCAR, (Urdu) the state or government; the authorities, also SIRCAR, SIRKAR [n]'",0.49024794,-1.7676028,0.16864486,82
COBRA,'(Portuguese) a venomous snake of India and Africa [n -S]',0.7951512,4.211498,6.7998214,-1
COBRAS,"'COBRA, (Portuguese) a venomous snake of India and Africa [n]'",0.77147686,4.224086,6.682133,-1
COCOPLUM,'a West Indian rosaceous tree; its edible fruit [n -S]',0.59142166,3.0167572,7.9343386,-1
COCOPLUMS,"'COCOPLUM, a West Indian rosaceous tree; its edible fruit [n]'",0.5565373,3.0168393,8.099624,-1
COMANCHERO,"'(Spanish) in the 19th century, a person who traded with the Plains Indians [n -S]'",0.2358356,6.175401,10.858587,-1
COMANCHEROS,"'COMANCHERO, (Spanish) in the 19th century, a person who traded with the Plains Indians [n]'",0.21190596,6.170094,10.863215,-1
CONCHO,'an ornamental disk (as on clothing or tack) of American Indian origin featuring a shell or flower design [n -S]',0.06667644,6.2480774,10.962865,24
CONCHOS,"'CONCHO, an ornamental disk (as on clothing or tack) of American Indian origin featuring a shell or flower design [n]'",0.08023561,6.3162136,11.061663,-1
CONGEE,"'(Tamil) water in which rice has been boiled; rice or millet gruel [n -S] / to starch with congee, also CONJEE [v CONGEED, CONGEEING, CONGEES]'",0.9820709,-1.5047224,8.509375,-1
CONJEE,"'(Tamil) water in which rice has been boiled; rice or millet gruel [n -S] / to starch with conjee, also CONGEE [v CONJEED, CONJEEING, CONJEES]'",1.0123357,-1.5391998,8.49717,-1
CORNCOB,'the cob or axis on which the kernels of Indian corn grow [n -S]',-0.34803936,6.0164046,11.015307,-1
CORNCOBS,"'CORNCOB, the cob or axis on which the kernels of Indian corn grow [n]'",-0.30962604,5.9882874,10.9905205,-1
CORNSTARCH,"'starch made from Indian corn, esp. a fine white flour used for puddings, etc. [n -ES]'",-0.3948827,5.9888453,11.040385,-1
CORNSTARCHES,"'CORNSTARCH, starch made from Indian corn, esp. a fine white flour used for puddings, etc. [n]'",-0.42569375,5.930341,11.005853,-1
CORUNDUM,"'(Tamil) a mineral consisting of alumina, varieties including sapphire, ruby, emery [n -S]'",1.1512663,0.9925406,7.669038,-1
CORUNDUMS,"'CORUNDUM, (Tamil) a mineral consisting of alumina, varieties including sapphire, ruby, emery [n]'",1.1746784,0.9723183,7.652277,-1
COSS,"'(Hindi) a measure of distance in India, also KOS, KOSS [n -ES]'",3.1672273,-0.1938822,2.3620727,95
COSSES,"'COSS, (Hindi) a measure of distance in India, also KOS, KOSS [n]'",3.201862,-0.22002867,2.3920977,95
COTWAL,"'(Hindi) the chief constable of an Indian town, also KOTWAL [n -S]'",2.6209314,-2.2409265,-0.49684376,-1
COTWALS,"'COTWAL, (Hindi) the chief constable of an Indian town, also KOTWAL [n]'",2.6747181,-2.2949457,-0.54486126,-1
COURBARIL,'the West Indian locust-tree [n -S]',0.8077935,3.1017294,7.9349713,49
COURBARILS,"'COURBARIL, the West Indian locust-tree [n]'",0.85430676,3.1897438,8.039174,-1
COWAGE,"'(Hindi) a leguminous climbing plant with crooked pods covered with sharp stinging hairs, also COWHAGE, COWITCH [n -S]'",-0.59982705,0.96883744,7.5636134,87
COWAGES,"'COWAGE, (Hindi) a leguminous climbing plant with crooked pods covered with sharp stinging hairs, also COWHAGE, COWITCH [n]'",-0.6372285,0.97351664,7.6092825,87
COWHAGE,"'(Hindi) a leguminous climbing plant with crooked pods covered with sharp stinging hairs, also COWAGE, COWITCH [n -S]'",-0.61584544,0.9455642,7.5753937,87
COWHAGES,"'COWHAGE, (Hindi) a leguminous climbing plant with crooked pods covered with sharp stinging hairs, also COWAGE, COWITCH [n]'",-0.5744235,0.9431227,7.5451965,87
COWITCH,"'(Hindi) a leguminous climbing plant with crooked pods covered with sharp stinging hairs, also COWAGE, COWHAGE [n -ES]'",-0.6259606,0.9417455,7.550439,87
COWITCHES,"'COWITCH, (Hindi) a leguminous climbing plant with crooked pods covered with sharp stinging hairs, also COWAGE, COWHAGE [n]'",-0.6106561,0.9555453,7.580847,87
CRORE,"'(Hindi) an Indian unit of counting, ten million [n -S]'",2.9562886,-0.021759734,2.158679,-1
CROREPATI,"'in India, a person whose assets are worth at least one crore or a million rupees [n -S]'",2.8258054,0.06755429,2.0175645,-1
CROREPATIS,"'CROREPATI, in India, a person whose assets are worth at least one crore or a million rupees [n]'",2.897476,0.012820811,2.0674286,-1
CRORES,"'CRORE, (Hindi) an Indian unit of counting, ten million [n]'",2.934458,-0.0008514194,2.107314,-1
CUMBERBUND,"'(Hindi) a waistband, a sash, also CUMMERBUND, KUMMERBUND [n -S]'",-1.7061329,0.77015054,1.4989585,68
CUMBERBUNDS,"'CUMBERBUND, (Hindi) a waistband, a sash, also CUMMERBUND, KUMMERBUND [n]'",-1.6889415,0.7487427,1.4920528,68
CUMMERBUND,"'(Hindi) a waistband, a sash, also CUMBERBUND, KUMMERBUND [n -S]'",-1.6830597,0.77089244,1.4832394,68
CUMMERBUNDS,"'CUMMERBUND, (Hindi) a waistband, a sash, also CUMBERBUND, KUMMERBUND [n]'",-1.6677738,0.72472364,1.5166391,68
CURRY,"'(Tamil) meat, fish, vegetables, etc., cooked with a mixture of strong spices and turmeric [n CURRIES] / to make a curry of [v CURRIED, CURRYING, CURRIES]'",0.9334247,-1.5521185,8.450272,-1
CUTCHA,"'(Hindi) made of dried mud, makeshift, also KACHA, KACHCHA, KUCHCHA, KUTCHA [adj]'",0.97006285,1.1079198,2.7066386,14
CUTCHERIES,"'CUTCHERY, (Hindi) an Indian magistrate's office or courthouse, also CUTCHERRY, KACHAHARI, KACHAHRI, KACHERI [n]'",2.1764631,-1.3302474,-0.017535456,63
CUTCHERRIES,"'CUTCHERRY, (Hindi) an Indian magistrate's office or courthouse, also CUTCHERY, KACHAHARI, KACHAHRI, KACHERI [n]'",2.1743495,-1.3307036,-0.02186402,63
CUTCHERRY,"'(Hindi) an Indian magistrate's office or courthouse, also CUTCHERY, KACHAHARI, KACHAHRI, KACHERI [n CUTCHERRIES]'",2.2078888,-1.3279767,-0.019024648,63
CUTCHERY,"'(Hindi) an Indian magistrate's office or courthouse, also CUTCHERRY, KACHAHARI, KACHAHRI, KACHERI [n CUTCHERIES]'",2.1917245,-1.3423506,-0.029608065,63
DAAL,"'(Hindi) the pigeon pea, a pealike plant cultivated in India and the tropics, also DAL, DAHL, DHAL, DHOLL [n -S]'",-1.3843862,-0.9990051,8.002693,124
DAALS,"'DAAL, (Hindi) the pigeon pea, a pealike plant cultivated in India and the tropics, also DAL, DAHL, DHAL, DHOLL [n]'",-1.3788813,-0.9874516,7.9895,124
DABBA,"'(Hindi) in Indian cookery, a round metal box used to transport hot food [n -S]'",-1.532767,-1.6541647,8.167019,-1
DABBAS,"'DABBA, (Hindi) in Indian cookery, a round metal box used to transport hot food [n]'",-1.6428899,-1.7142448,8.06634,-1
DACOIT,"'(Hindi) a member of an Indian robber gang, also DAKOIT [n -S]'",3.1786308,0.89933604,0.32379273,60
DACOITAGE,"'(Hindi) robbery by dacoits, also DACOITY, DAKOITI, DAKOITY [n -S]'",3.3007853,0.9020132,0.2500683,60
DACOITAGES,"'DACOITAGE, (Hindi) robbery by dacoits, also DACOITY, DAKOITI, DAKOITY [n]'",3.3298845,0.93151826,0.23410586,60
DACOITIES,"'DACOITY, (Hindi) robbery by dacoits, also DACOITAGE, DAKOITI, DAKOITY [n]'",3.303431,0.93016124,0.2335737,60
DACOITS,"'DACOIT, (Hindi) a member of an Indian robber gang, also DAKOIT [n]'",3.2718155,0.90518445,0.2812503,60
DACOITY,"'(Hindi) robbery by dacoits, also DACOITAGE, DAKOITI, DAKOITY [n DACOITIES]'",3.3124652,0.916025,0.24810976,60
DAFTAR,"'(Urdu) in India, an office, esp. a military orderly room [n -S]'",0.3827248,-1.576543,0.7495768,-1
DAFTARS,"'DAFTAR, (Urdu) in India, an office, esp. a military orderly room [n]'",0.36226088,-1.7118304,0.61656237,-1
DAHL,"'(Hindi) an Indian name for a lentil, also DAAL, DAL, DHAL, DHOLL [n -S]'",-1.3990508,-1.0386785,8.004761,124
DAHLS,"'DAHL, (Hindi) an Indian name for a lentil, also DAAL, DAL, DHAL, DHOLL [n]'",-1.4166529,-1.0506573,8.0410185,124
DAK,"'(Hindi) the mail-post in India, also DAWK [n -S]'",2.0638435,-0.70141405,0.9187827,-1
DAKOIT,"'(Hindi) a member of an Indian robber gang, also DACOIT [n -S]'",3.1612923,0.89402163,0.37059352,60
DAKOITI,"'(Hindi) robbery by dacoits, also DACOITAGE, DACOITY, DAKOITY [n -S]'",3.3091955,0.91433954,0.24800196,60
DAKOITIES,"'DAKOITY, (Hindi) robbery by dacoits, also DACOITAGE, DACOITY, DAKOITI [n]'",3.3288918,0.93693197,0.22938056,60
DAKOITIS,"'DAKOITI, (Hindi) robbery by dacoits, also DACOITAGE, DACOITY, DAKOITY [n]'",3.3305347,0.91529304,0.23784596,60
DAKOITS,"'DAKOIT, (Hindi) a member of an Indian robber gang, also DACOIT [n]'",3.2516427,0.89060307,0.29403892,60
DAKOITY,"'(Hindi) robbery by dacoits, also DACOITAGE, DACOITY, DAKOITI [n DAKOITIES]'",3.3143435,0.915061,0.24898358,60
DAKS,"'DAK, (Hindi) the mail-post in India, also DAWK [n]'",2.0604727,-0.71303934,0.8268021,-1
DAL,"'(Hindi) a kind of Indian edible pea, also DAAL, DAHL, DHAL, DHOLL [n -S]'",-1.3994868,-1.0214146,8.004933,124
DALS,"'DAL, (Hindi) a kind of Indian edible pea, also DAAL, DAHL, DHAL, DHOLL [n]'",-1.3863719,-1.0201753,8.027121,124
DANSAK,"'(Urdu) any of a variety of Indian dishes consisting of meat or vegetables braised with water or stock and lentils, also DHANSAK [n -S]'",-2.0608797,-1.5786275,8.371777,92
DANSAKS,"'DANSAK, (Urdu) any of a variety of Indian dishes consisting of meat or vegetables braised with water or stock and lentils, also DHANSAK [n]'",-2.0699651,-1.5590183,8.387849,-1
DARBAR,"'the court of a native ruler in India, also DURBAR [n -S]'",1.4272096,-0.927019,0.36239246,-1
DARBARS,"'DARBAR, the court of a native ruler in India, also DURBAR [n]'",1.3828988,-0.8799814,0.31471384,-1
DARGA,"'(Hindi) the tomb of a Muslim saint, also DARGAH, DURGAH [n -S]'",1.0147556,2.427467,-0.26020017,-1
DARGAS,"'DARGA, (Hindi) the tomb of a Muslim saint, also DARGAH, DURGAH [n]'",0.97213304,2.368892,-0.29081604,-1
DARI,"'(Arabic) Indian millet, also DHOORA, DHOURRA, DHURRA, DOURA, DOURAH, DURA, DURR, DURRA [n -S]'",1.9787643,-1.875266,10.812424,103
DARIS,"'DARI, (Arabic) Indian millet, also DHOORA, DHOURRA, DHURRA, DOURA, DOURAH, DURA, DURR, DURRA [n]'",1.5646043,-1.6815144,10.35005,102
DAROGA,"'(Urdu) in India, a manager, also DAROGHA [n -S]'",0.5208775,-1.5185118,0.44275105,-1
DAROGAS,"'DAROGA, (Urdu) in India, a manager, also DAROGHA [n]'",0.48700786,-1.4973592,0.43670666,-1
DAROGHA,"'(Urdu) in India, a manager, also DAROGA [n -S]'",0.49524987,-1.5388975,0.42099038,-1
DAROGHAS,"'DAROGHA, (Urdu) in India, a manager, also DAROGA [n]'",0.4543724,-1.5429511,0.37651685,-1
DARSHAN,'(Hindi) a blessing conferred by touching or seeing a holy person [n -S]',1.1246315,2.5553167,-0.23914278,-1
DARSHANS,"'DARSHAN, (Hindi) a blessing conferred by touching or seeing a holy person [n]'",1.2296891,2.6889815,-0.4758515,-1
DARZI,"'(Hindi) a Hindu tailor, also DURZI [n -S]'",1.2485027,0.7515991,0.7932467,-1
DARZIS,"'DARZI, (Hindi) a Hindu tailor, also DURZI [n]'",1.2555186,0.76232725,0.79352134,-1
DATURA,"'(Hindi) a genus of solanaceous plants, with large funnel-shaped flowers [n -S]'",-0.7700394,0.9091957,7.7385798,-1
DATURAS,"'DATURA, (Hindi) a genus of solanaceous plants, with large funnel-shaped flowers [n]'",-0.6691627,0.9538841,7.690599,-1
DAWK,"'(Hindi) the mail-post in India, also DAK [n -S]'",2.0375674,-0.76445407,0.8696205,-1
DAWKS,"'DAWK, (Hindi) the mail-post in India, also DAK [n]'",2.0283802,-0.7114055,0.7563952,-1
DEEWAN,'(Urdu) an official in India [n -S]',0.43956625,-1.4216897,0.6683083,91
DEEWANS,"'DEEWAN, (Urdu) an official in India [n]'",0.33237046,-1.5569069,0.26076224,91
DEEYA,"'(Hindi) a small oil lamp used in Hindu worship, esp. at Diwali, also DIYA [n -S]'",1.3077567,2.6748433,0.5211351,59
DEEYAS,"'DEEYA, (Hindi) a small oil lamp used in Hindu worship, esp. at Diwali, also DIYA [n]'",1.3183346,2.7239232,0.47457072,59
DEODAR,"'(Sanskrit) an East Indian cedar, also DEODARA [n -S]'",-0.11585814,1.9604154,7.979824,93
DEODARA,"'(Sanskrit) an East Indian cedar, also DEODAR [n -S]'",-0.12725459,1.9376127,7.9668627,93
DEODARAS,"'DEODARA, (Sanskrit) an East Indian cedar, also DEODAR [n]'",-0.11267076,1.9845384,7.961056,93
DEODARS,"'DEODAR, (Sanskrit) an East Indian cedar, also DEODARA [n]'",-0.11810083,1.9513267,7.967485,93
DESHI,"'(Hinglish) a person of Indian, Pakistani or Bangladeshi birth who lives abroad, also DESI [n -S]'",0.78769135,0.48808125,-0.151877,-1
DESHIS,"'DESHI, (Hinglish) a person of Indian, Pakistani or Bangladeshi birth who lives abroad, also DESI [n]'",0.80394214,0.4720444,-0.15971039,-1
DESI,"'(Hinglish) a person of Indian, Pakistani or Bangladeshi birth who lives abroad, also DESHI [n -S]'",0.7848873,0.4851748,-0.17900853,5
DESIS,"'DESI, (Hinglish) a person of Indian, Pakistani or Bangladeshi birth who lives abroad, also DESHI [n]'",0.80012095,0.4616212,-0.17423046,-1
DETENU,"'(French) a (male) prisoner, esp. a political prisoner in India [n -S]'",1.9903072,-0.93914455,0.111713,-1
DETENUE,"'(French) a (female) prisoner, esp. a political prisoner in India [n -S]'",1.9905666,-0.92216474,0.08444857,-1
DETENUES,"'DETENUE, (French) a (female) prisoner, esp. a political prisoner in India [n]'",2.005791,-0.87999433,-0.007932541,-1
DETENUS,"'DETENU, (French) a (male) prisoner, esp. a political prisoner in India [n]'",2.0957325,-1.0511097,0.0062497943,-1
DEV,"'(Sanskrit) a Hindu god, also DEVA [n -S]'",2.5848424,3.5466557,-0.4531215,112
DEVA,"'(Sanskrit) a Hindu god, also DEV [n -S]'",2.6206782,3.5072832,-0.4144755,112
DEVANAGARI,"'(Sanskrit) the character in which Sanskrit is usually printed, also NAGARI [n -S]'",2.1665738,3.6083834,-0.6231247,-1
DEVANAGARIS,"'DEVANAGARI, (Sanskrit) the character in which Sanskrit is usually printed, also NAGARI [n]'",2.125338,3.5137198,-0.63050056,-1
DEVAS,"'DEVA, (Sanskrit) a Hindu god, also DEV [n]'",2.5528805,3.5133562,-0.41847506,-1
DEVI,'(Sanskrit) a Hindu goddess [n -S]',2.5453153,3.5859258,-0.53161,112
DEVIS,"'DEVI, (Sanskrit) a Hindu goddess [n]'",2.549284,3.598133,-0.5188714,112
DEVS,"'DEV, (Sanskrit) a Hindu god, also DEVA [n]'",2.5771935,3.555061,-0.47406423,-1
DEWAN,"'(Urdu) in India, a financial minister, also DEEWAN, DIWAN [n -S]'",0.28814363,-1.5774256,0.24723706,91
DEWANI,"'(Urdu) the office of dewan, also DEWANNY [n -S]'",0.20050213,-1.5293859,0.30902493,91
DEWANIS,"'DEWANI, (Urdu) the office of dewan, also DEWANNY [n]'",0.27563065,-1.556595,0.24706657,91
DEWANNIES,"'DEWANNY, (Urdu) the office of dewan, also DEWANI [n]'",0.24695285,-1.5712607,0.21263875,91
DEWANNY,"'(Urdu) the office of dewan, also DEWANI [n DEWANNIES]'",0.2418917,-1.5367607,0.24179384,91
DEWANS,"'DEWAN, (Urdu) in India, a financial minister, also DEEWAN, DIWAN [n]'",0.33387312,-1.5902486,0.23093972,91
DHABA,'(Hindi) (in India) a roadside cafe or food stall [n -S]',-1.4390067,-1.7306788,8.953351,-1
DHABAS,"'DHABA, (Hindi) (in India) a roadside cafe or food stall [n]'",-1.4423977,-1.7266556,8.939656,-1
DHAK,"'(Hindi) a leguminous tree of eastern India and Myanmar, with showy orange or red flowers [n -S]'",-0.6959322,1.1860172,7.7574415,-1
DHAKS,"'DHAK, (Hindi) a leguminous tree of eastern India and Myanmar, with showy orange or red flowers [n]'",-0.7055718,1.2072785,7.877526,-1
DHAL,"'(Hindi) an Indian name for a lentil, also DAAL, DAHL, DAL, DHOLL [n -S]'",-1.4301671,-1.0657504,7.9980493,124
DHALS,"'DHAL, (Hindi) an Indian name for a lentil, also DAAL, DAHL, DAL, DHOLL [n]'",-1.391696,-1.0339847,8.049427,124
DHAMMA,"'(Sanskrit) custom or law regarded as duty; the basic principles of cosmic or individual existence, also DHARMA [n -S]'",2.367154,3.3846242,-1.3487568,-1
DHAMMAS,"'DHAMMA, (Sanskrit) custom or law regarded as duty; the basic principles of cosmic or individual existence, also DHARMA [n]'",2.4232442,3.4632945,-1.5173268,-1
DHANSAK,"'(Urdu) any of a variety of Indian dishes consisting of meat or vegetables braised with water or stock and lentils, also DANSAK [n -S]'",-2.0662835,-1.565405,8.365934,-1
DHANSAKS,"'DHANSAK, (Urdu) any of a variety of Indian dishes consisting of meat or vegetables braised with water or stock and lentils, also DANSAK [n]'",-2.0678072,-1.5460826,8.369813,-1
DHARMA,"'(Sanskrit) custom or law regarded as duty; the basic principles of cosmic or individual existence, also DHAMMA [n -S]'",2.404414,3.4322183,-1.4757749,-1
DHARMAS,"'DHARMA, (Sanskrit) custom or law regarded as duty; the basic principles of cosmic or individual existence, also DHAMMA [n]'",2.4141102,3.442359,-1.508038,-1
DHARMIC,'(Sanskrit) of or like dharma [adj]',2.2337282,3.4596522,-1.1882734,-1
DHARMSALA,"'(Hindi) a building having a religious or charitable purpose, a free or cheap lodging for travellers, also DHARMSHALA [n -S]'",1.0682099,2.4459686,0.17854139,-1
DHARMSALAS,"'DHARMSALA, (Hindi) a building having a religious or charitable purpose, a free or cheap lodging for travellers, also DHARMSHALA [n]'",1.0261712,2.4951367,0.14577694,-1
DHARMSHALA,"'(Hindi) a building having a religious or charitable purpose, a free or cheap lodging for travellers, also DHARMSALA [n -S]'",1.0625206,2.4478157,0.16378938,-1
DHARMSHALAS,"'DHARMSHALA, (Hindi) a building having a religious or charitable purpose, a free or cheap lodging for travellers, also DHARMSALA [n]'",0.9593256,2.4586458,0.09732172,-1
DHARNA,"'(Hindi) a method of collecting a debt in which the person who is owed money sits on the debtor's doorstep until payment is made, or the debtor starves to death, also DHURNA [n -S]'",2.8183913,0.58298707,0.6749842,-1
DHARNAS,"'DHARNA, (Hindi) a method of collecting a debt in which the person who is owed money sits on the debtor's doorstep until payment is made, or the debtor starves to death, also DHURNA [n]'",2.7296038,0.5099103,0.73673505,-1
DHOBI,'(Hindi) an Indian washerwoman [n -S]',1.1765642,0.46709803,0.5378911,-1
DHOBIS,"'DHOBI, (Hindi) an Indian washerwoman [n]'",1.0748024,0.43937385,0.5840564,-1
DHOL,"'(Hindi) a large cylindrical drum, used in Indian music [n -S]'",0.19112769,5.535495,0.9085993,77
DHOLAK,'(Hindi) a two-headed drum [n -S]',0.17799768,5.5491147,0.9337131,77
DHOLAKS,"'DHOLAK, (Hindi) a two-headed drum [n]'",0.0838676,5.611863,0.985264,-1
DHOLE,'an Indian wild dog [n -S]',0.73089796,3.7918644,5.7728677,-1
DHOLES,"'DHOLE, an Indian wild dog [n]'",0.6921273,3.7961102,5.6815987,-1
DHOLL,"'(Hindi) an Indian name for lentil, also DAAL, DAHL, DAL, DHAL [n -S]'",-1.4123342,-1.0649568,8.040668,124
DHOLLS,"'DHOLL, (Hindi) an Indian name for lentil, also DAAL, DAHL, DAL, DHAL [n]'",-1.3921255,-1.0206856,8.012838,124
DHOLS,"'DHOL, (Hindi) a large cylindrical drum, used in Indian music [n]'",0.058259778,5.62579,1.0061419,-1
DHOOLIES,"'DHOOLY, (Hindi) a litter or palanquin, also DOOLEE, DOOLIE, DOOLY [n]'",0.06793849,0.25014183,2.8309045,54
DHOOLY,"'(Hindi) a litter or palanquin, also DOOLEE, DOOLIE, DOOLY [n DHOOLIES]'",0.046977982,0.19587141,2.781183,54
DHOORA,"'(Arabic) Indian millet, also DARI, DHOURRA, DHURRA, DOURA, DOURAH, DURA, DURR, DURRA [n -S]'",1.9594514,-1.8574048,10.791263,103
DHOORAS,"'DHOORA, (Arabic) Indian millet, also DARI, DHOURRA, DHURRA, DOURA, DOURAH, DURA, DURR, DURRA [n]'",1.5301526,-1.659874,10.313487,102
DHOOTI,"'(Hindi) a loincloth worn by Indian men, also DHOOTIE, DHOTI, DHUTI [n -S]'",-1.6414319,1.0289837,1.2222455,89
DHOOTIE,"'(Hindi) a loincloth worn by Indian men, also DHOOTI, DHOTI, DHUTI [n -S]'",-1.6242139,1.0308025,1.2205663,89
DHOOTIES,"'DHOOTIE, (Hindi) a loincloth worn by Indian men, also DHOOTI, DHOTI, DHUTI [n]'",-1.6128607,1.0340652,1.1969346,89
DHOOTIS,"'DHOOTI, (Hindi) a loincloth worn by Indian men, also DHOOTIE, DHOTI, DHUTI [n]'",-1.5874246,1.0577751,1.1684041,89
